cohLabel,cohProportion,isPol,k_inf,k_sup
cohAnes2016Binary,0.6444124690999159,1.0,0.36,0.42999999999999994
cohAnes2016Extended,0.6524565367170336,1.0,0.4,0.42999999999999994
cohAnes2020Binary,0.6978440690770269,1.0,0.52,0.6499999999999999
cohAnes2020Extended,0.7209073626042715,1.0,0.63,0.74
cohFreiraArg,0.6102577941961705,1.0,0.26,0.30999999999999994
cohFreiraBra,0.6745433361217029,1.0,0.43999999999999995,0.56
cohFreiraUSA,0.5757342859193981,1.0,0.09999999999999998,0.28
cohFreiraUru,0.5703031606386022,1.0,0.12,0.22999999999999998
cohPew2014,0.534599465051091,0.0,0.04999999999999993,0.10999999999999999
cohPew2020,0.6595767326619418,1.0,0.38,0.51
cohZimmOnlineHedA,0.5014006037171344,0.0,,
cohZimmOnlineHedB,0.5498950905211003,0.0,0.06999999999999995,0.16999999999999993
cohZimmOnlinePolA,0.6305101829269083,1.0,0.29000000000000004,0.41000000000000003
cohZimmOnlinePolB,0.6462766549340482,1.0,0.32999999999999996,0.47
cohZimmSt1NonPol,0.5456341328944618,0.0,0.08999999999999997,0.13
cohZimmSt1Pol,0.6094322433935391,1.0,0.24,0.32999999999999996
